12-11 22:26:31: Training starting...
12-11 22:26:38: New best reward 30.0 (-100.0%) at episode 0, saving model...
12-11 22:26:38: New best reward 36.0 (+20.0%) at episode 8, saving model...
12-11 22:26:39: New best reward 37.0 (+2.8%) at episode 21, saving model...
12-11 22:26:39: New best reward 38.0 (+2.7%) at episode 30, saving model...
12-11 22:26:39: New best reward 91.0 (+139.5%) at episode 33, saving model...
12-11 22:26:40: New best reward 92.0 (+1.1%) at episode 251, saving model...
12-11 22:26:41: New best reward 99.0 (+7.6%) at episode 340, saving model...
12-11 22:26:41: New best reward 100.0 (+1.0%) at episode 343, saving model...
12-11 22:26:41: New best reward 104.0 (+4.0%) at episode 375, saving model...
12-11 22:26:43: New best reward 110.0 (+5.8%) at episode 482, saving model...
12-11 22:26:43: New best reward 123.0 (+11.8%) at episode 497, saving model...
12-11 22:26:45: New best reward 138.0 (+12.2%) at episode 661, saving model...
12-11 22:26:46: New best reward 142.0 (+2.9%) at episode 738, saving model...
12-11 22:26:47: New best reward 150.0 (+5.6%) at episode 756, saving model...
12-11 22:26:47: New best reward 152.0 (+1.3%) at episode 802, saving model...
12-11 22:26:48: New best reward 171.0 (+12.5%) at episode 837, saving model...
12-11 22:26:48: New best reward 212.0 (+24.0%) at episode 839, saving model...
12-11 22:26:48: New best reward 221.0 (+4.2%) at episode 847, saving model...
12-11 22:26:50: New best reward 243.0 (+10.0%) at episode 967, saving model...
12-11 22:27:00: New best reward 257.0 (+5.8%) at episode 1208, saving model...
12-11 22:27:01: New best reward 394.0 (+53.3%) at episode 1229, saving model...
12-11 22:27:25: New best reward 404.0 (+2.5%) at episode 1646, saving model...
12-11 22:27:36: New best reward 419.0 (+3.7%) at episode 1752, saving model...
